lang/relation,birth_year,birth_city,death_year,sport_type,architect_by,geo_continent,tourist_attraction_country
en_m_1,{} was born in the year,{} was born in the city of,{} died in the year,{} professionally plays the sport of,{} was designed by an architect named,The {} is located in the continent of,nan
en_m_2,The birth year of {} is,The birth city of {} is,The death year of {} is,The sport that {} is associated with is,The name of the architect who designed The {} is,The {} is a part of the continent of,nan
en_m_3,{}'s birth took place in the year,The birthplace of {} is the city of,{}'s death took place in the year,{} participates in the sport of, The architect of The {} was,The continent in which the {} is part of is,nan
en_f_1,{} was born in the year,{} was born in the city of,{} died in the year,{} professionally plays the sport of,{} was designed by an architect named,The {} is located in the continent of,nan
en_f_2,The birth year of {} is,The birth city of {} is,The death year of {} is,The sport that {} is associated with is,The name of the architect who designed The {} is,The {} is a part of the continent of,nan
en_f_3,{}'s birth took place in the year,The birthplace of {} is the city of,{}'s death took place in the year,{} participates in the sport of,The architect of The {} was,The continent in which the {} is part of is,nan
fr_m_1,{} est né en l'an,{} est né dans une ville nommée,{} est mort en l'an,{} joue professionnellement au sport du,Le {} a été conçu par l'architecte,La {} est située en continent du,nan
fr_m_2,L'année de naissance de {} est,La ville natale de {} était,L'année de la mort de {} est,Le sport avec lequel {} est associé est le,Le {} est l'œuvre magistrale de l'architecte,La {} fait partie continent du,nan
fr_m_3,La naissance de {} a eu lieu en l'an,La ville natale de {} se trouvait à,La mort de {} a eu lieu en l'an,{} participe au sport du,Le {} porte la signature de l'architecte,La célèbre {} trône fièrement sur le continent du,nan
fr_f_1,{} est née en l'an,{} est née dans une ville nommée,{} est née en l'an,{} joue professionnellement au sport du,Le {} a été conçu par l'architecte,La {} est située en continent du,nan
fr_f_2,L'année de naissance de {} est,La ville natale de {} était,L'année de la mort de {} est,Le sport auquel {} est associée est le,Le {} est l'œuvre magistrale de l'architecte,La {} fait partie continent du,nan
fr_f_3,La naissance de {} a eu lieu en l'an,La ville natale de {} se trouvait à,La mort de {} a eu lieu en l'an,{} participe au sport du,Le {} porte la signature de l'architecte,La célèbre {} trône fièrement sur le continent du,nan
ru_m_1,{} родился в году,{} родился в городе,{} умер в году,{} профессионально занимается,{} был спроектирован архитектором,{} расположена в,nan
ru_m_2,Год рождения {} он,Город рождения {} он,Год смерти {}а -,"Вид спорта, с которым ассоциируется {}, -",Архитектор {} -,{} - часть,nan
ru_m_3,{} год рождения был в,место рождения {} ето город,{} год смерти был в,{} участвует в спорте,{} - творение архитектора,{} возвышается над бескрайними просторами,nan
ru_f_1,{} родилась в году,{} родилась в городе,{} умерла в году,{} профессионально занимается,{} был спроектирован архитектором,{} расположена в,nan
ru_f_2,Год рождения {} он,Город рождения {} он,Год смерти {} -,"Вид спорта, с которым ассоциируется {}, -",Архитектор {} -,{} - часть,nan
ru_f_3,{} год рождения был в,место рождения {} ето город,{} год смерти был в,{} участвует в спорте,{} - творение архитектора,{} возвышается над бескрайними просторами,nan
