id,lang,pred,gold,F1,EM
2170,en, London,London,1.0,1
2170,it, Bristol,Londra,0.0,0
2170,es, Londres,Londres,1.0,1
2170,fr, Londres,Londres,1.0,1
2170,ar, نيويورك,لندن,0.0,0
2170,he, לוס אנ,לונדון,0.0,0
2170,ru, Лондон,Лондон,1.0,1
4513,en, New York,Toronto,0.0,0
4513,it, New York,Toronto,0.0,0
4513,es, Nueva York,Toronto,0.0,0
4513,fr, Nashville,Toronto,0.0,0
4513,ar, نيويورك,تورونتو,0.0,0
4513,he, לוס אנ,טורונטו,0.0,0
4513,ru, Лондон,Торонто,0.0,0
6983,en, 1946,1967,0.0,0
6983,it, 1942,1967,0.0,0
6983,es, 1943,1967,0.0,0
6983,fr, 1955,1967,0.0,0
6983,ar, 1942,1967,0.0,0
6983,he, 1784,1967,0.0,0
6983,ru, 1771,1967,0.0,0
6243,en, 1914,1914,1.0,1
6243,it, 1914,1914,1.0,1
6243,es, 1914,1914,1.0,1
6243,fr, 1914,1914,1.0,1
6243,ar, 1769,1914,0.0,0
6243,he, 1784,1914,0.0,0
6243,ru, 1771,1914,0.0,0
9242,en, 1986,1994,0.0,0
9242,it, 2000,1994,0.0,0
9242,es, 1987,1994,0.0,0
9242,fr, 1986,1994,0.0,0
9242,ar, 1928,1994,0.0,0
9242,he, רובר,1994,0.0,0
9242,ru, 1928,1994,0.0,0
639,en, New York,Los Angeles,0.0,0
639,it, New York,Los Angeles,0.0,0
639,es, Nueva York,Los Ángeles,0.0,0
639,fr, New York,Los Angeles,0.0,0
639,ar, لندن,لوس أنجلوس,0.0,0
639,he, לוס אנ,לוס אנג'לס,0.5,0
639,ru, Лос-Анд,Лос-Анджелес,0.0,0
453,en, Los Angeles,Los Angeles,1.0,1
453,it, Los Angeles,Los Angeles,1.0,1
453,es, Los Ángeles,Los Ángeles,1.0,1
453,fr, Los Angeles,Los Angeles,1.0,1
453,ar, نيويورك,لوس أنجلوس,0.0,0
453,he, לוס אנ,לוס אנג'לס,0.5,0
453,ru, Лос-Анд,Лос-Анджелес,0.0,0
2808,en, London,London,1.0,1
2808,it, Londres,Londra,0.0,0
2808,es, Londres,Londres,1.0,1
2808,fr, Londres,Londres,1.0,1
2808,ar, نيويورك,لندن,0.0,0
2808,he, לוס אנ,לונדון,0.0,0
2808,ru, Лос-Анд,Лондон,0.0,0
12995,en, basketball,sambo,0.0,0
12995,it, calcio,Sambo,0.0,0
12995,es, fútbol,sambo,0.0,0
12995,fr, football,sambo,0.0,0
12995,ar, كرة السلة,سامبو,0.0,0
12995,he, כדורגל,סמבו,0.0,0
12995,ru, футбол,самбо,0.0,0
440,en, New York,Los Angeles,0.0,0
440,it, New York,Los Angeles,0.0,0
440,es, Nueva York,Los Ángeles,0.0,0
440,fr, New York,Los Angeles,0.0,0
440,ar, نيويورك,لوس أنجلوس,0.0,0
440,he, לוס אנ,לוס אנג'לס,0.5,0
440,ru, Лондон,Лос-Анджелес,0.0,0
1705,en, New York,Los Angeles,0.0,0
1705,it, New York,Los Angeles,0.0,0
1705,es, Nueva York,Los Ángeles,0.0,0
1705,fr, Chicago,Los Angeles,0.0,0
1705,ar, نيويورك,لوس أنجلوس,0.0,0
1705,he, לוס אנ,לוס אנג'לס,0.5,0
1705,ru, Лос-Анд,Лос-Анджелес,0.0,0
7362,en, 1784,2004,0.0,0
7362,it, 1784,2004,0.0,0
7362,es, 1779,2004,0.0,0
7362,fr, 1779,2004,0.0,0
7362,ar, 1784,2004,0.0,0
7362,he, 1784,2004,0.0,0
7362,ru, 1784,2004,0.0,0
11126,en, Antarctica,Africa,0.0,0
11126,it, Antartide,Africa,0.0,0
11126,es, Antártida,África,0.0,0
11126,fr, Antarctique,Afrique,0.0,0
11126,ar, القارة القطبية الجنوبية,إفريقيا,0.0,0
11126,he, אנטאר,אפריקה,0.0,0
11126,ru, Антаркти,Африка,0.0,0
4441,en, New York,Toronto,0.0,0
4441,it, New York,Toronto,0.0,0
4441,es, Nueva York,Toronto,0.0,0
4441,fr, New York,Toronto,0.0,0
4441,ar, نيويورك,تورونتو,0.0,0
4441,he, לוס אנ,טורונטו,0.0,0
4441,ru, Лондон,Торонто,0.0,0
8411,en, 1784,1910,0.0,0
8411,it, 1784,1910,0.0,0
8411,es, 1784,1910,0.0,0
8411,fr, 1784,1910,0.0,0
8411,ar, 1787,1910,0.0,0
8411,he, 1784,1910,0.0,0
8411,ru, 1784,1910,0.0,0
2354,en, Edinburgh,London,0.0,0
2354,it, Edinburgh,Londra,0.0,0
2354,es, Londres,Londres,1.0,1
2354,fr, New York,Londres,0.0,0
2354,ar, لندن,لندن,1.0,1
2354,he, לוס אנ,לונדון,0.0,0
2354,ru, Лондон,Лондон,1.0,1
6731,en, 1781,1778,0.0,0
6731,it, 1810,1778,0.0,0
6731,es, 1781,1778,0.0,0
6731,fr, 1807,1778,0.0,0
6731,ar, 1769,1778,0.0,0
6731,he, 1784,1778,0.0,0
6731,ru, 1784,1778,0.0,0
11509,en, Richard Meier,Fazlur Khan,0.0,0
11509,it, I,Fazlur Khan,0.0,0
11509,es, Richard Meier,Fazlur Khan,0.0,0
11509,fr, Richard Meier,Fazlur Khan,0.0,0
11509,ar, روبرت هوبكن,فضل الرحمن خان,0.0,0
11509,he, רומב,פלזור רהמן קהאן,0.0,0
11509,ru, Сантьяго,Фазлур Хан,0.0,0
3181,en, New York,London,0.0,0
3181,it, New York,Londra,0.0,0
3181,es, Nueva York,Londres,0.0,0
3181,fr, New York,Londres,0.0,0
3181,ar, نيويورك,لندن,0.0,0
3181,he, לוס אנ,לונדון,0.0,0
3181,ru, Лос-Анд,Лондон,0.0,0
4001,en, New York,Cairo,0.0,0
4001,it, New York,Il Cairo,0.0,0
4001,es, Nueva York,El Cairo,0.0,0
4001,fr, New York,Le Caire,0.0,0
4001,ar, نيويورك,القاهرة,0.0,0
4001,he, לוס אנ,קהיר,0.0,0
4001,ru, Лос-Анд,Каир,0.0,0
306,en, Mumbai,Mumbai,1.0,1
306,it, Mumbai,Mumbai,1.0,1
306,es, Mumbai,Bombay,0.0,0
306,fr, Mumbai,Bombay,0.0,0
306,ar, نيويورك,مومباي,0.0,0
306,he, לוס אנ,מומבאי,0.0,0
306,ru, Лос-Анд,Мумбаи,0.0,0
3405,en, New York,London,0.0,0
3405,it, New York,Londra,0.0,0
3405,es, Nueva York,Londres,0.0,0
3405,fr, New York,Londres,0.0,0
3405,ar, لندن,لندن,1.0,1
3405,he, לוס אנ,לונדון,0.0,0
3405,ru, Сафрана,Лондон,0.0,0
9365,en, 1966,1977,0.0,0
9365,it, 1977,1977,1.0,1
9365,es, 1977,1977,1.0,1
9365,fr, 1977,1977,1.0,1
9365,ar, 1928,1977,0.0,0
9365,he,ה רוד,1977,0.0,0
9365,ru, 1722,1977,0.0,0
8123,en, 1784,1872,0.0,0
8123,it, 1784,1872,0.0,0
8123,es, 1784,1872,0.0,0
8123,fr, 1830,1872,0.0,0
8123,ar, 1784,1872,0.0,0
8123,he, 1784,1872,0.0,0
8123,ru, 1784,1872,0.0,0
9271,en, 1986,2015,0.0,0
9271,it, 1928,2015,0.0,0
9271,es, 1986,2015,0.0,0
9271,fr, 1986,2015,0.0,0
9271,ar, 1928,2015,0.0,0
9271,he,ידון ב,2015,0.0,0
9271,ru, 2006,2015,0.0,0
10414,en, 1986,2023,0.0,0
10414,it, 2000,2023,0.0,0
10414,es, 2000,2023,0.0,0
10414,fr, 1986,2023,0.0,0
10414,ar, 1928,2023,0.0,0
10414,he,ון דר,2023,0.0,0
10414,ru, 1928,2023,0.0,0
2057,en, London,London,1.0,1
2057,it, Londres,Londra,0.0,0
2057,es, Londres,Londres,1.0,1
2057,fr, Londres,Londres,1.0,1
2057,ar, لندن,لندن,1.0,1
2057,he, לוס אנ,לונדון,0.0,0
2057,ru, Лос-Анд,Лондон,0.0,0
4069,en, New York,Alexandria,0.0,0
4069,it, New York,Alessandria d'Egitto,0.0,0
4069,es, Nueva York,Alejandría,0.0,0
4069,fr, New York,Alexandrie,0.0,0
4069,ar, نيويورك,الإسكندرية,0.0,0
4069,he, לוס אנ,אלכסנדריה,0.0,0
4069,ru, Лондон,Александрия,0.0,0
4852,en, New York,Makhachkala,0.0,0
4852,it, New York,Machačkala,0.0,0
4852,es, Nueva York,Majachkalá,0.0,0
4852,fr, Tel Aviv,Makhatchkala,0.0,0
4852,ar, نيويورك,محج قلعة,0.0,0
4852,he, לוס אנ,מחצ'קלה,0.0,0
4852,ru, Лондон,Махачкала,0.0,0
11753,en, Norman Foster,John Nash,0.0,0
11753,it, Norman Foster,John Nash,0.0,0
11753,es, Norman Foster,John Nash,0.0,0
11753,fr, Sir Norman Foster,John Nash,0.0,0
11753,ar, جوناثان هوب,جون ناش,0.0,0
11753,he, רומר,ג'ון נאש,0.0,0
11753,ru, Сантьяго,"Нэш, Джон",0.0,0
4057,en, Rome,Alexandria,0.0,0
4057,it, Roma,Alessandria d'Egitto,0.0,0
4057,es, Nueva York,Alejandría,0.0,0
4057,fr, Alexandrie,Alexandrie,1.0,1
4057,ar, روما,الإسكندرية,0.0,0
4057,he, לוס אנ,אלכסנדריה,0.0,0
4057,ru, Лос-Анд,Александрия,0.0,0
7022,en, 1943,1968,0.0,0
7022,it, 1947,1968,0.0,0
7022,es, 1920,1968,0.0,0
7022,fr, 1943,1968,0.0,0
7022,ar, 1753,1968,0.0,0
7022,he, 1784,1968,0.0,0
7022,ru, 1771,1968,0.0,0
8271,en, 1920,1967,0.0,0
8271,it, 1847,1967,0.0,0
8271,es, 1900,1967,0.0,0
8271,fr, 1880,1967,0.0,0
8271,ar, 1771,1967,0.0,0
8271,he, 1784,1967,0.0,0
8271,ru, 1784,1967,0.0,0
12924,en, baseball,athletics,0.0,0
12924,it, calcio,atletica leggera,0.0,0
12924,es, fútbol,atletismo,0.0,0
12924,fr, football,athlétisme,0.0,0
12924,ar, كرة السلة,ألعاب القوى,0.0,0
12924,he, כדורגל,אתלטיקה,0.0,0
12924,ru, футбол,лёгкая атлетика,0.0,0
12484,en, basketball,association football,0.0,0
12484,it, calcio,calcio,1.0,1
12484,es, fútbol,fútbol,1.0,1
12484,fr, football,football,1.0,1
12484,ar, كرة السلة,كرة القدم,0.5,0
12484,he, כדורגל,כדורגל,1.0,1
12484,ru, футбол,футбол,1.0,1
1992,en, London,London,1.0,1
1992,it, Stuttgart,Londra,0.0,0
1992,es, Londres,Londres,1.0,1
