,id,lang,pred,gold,F1,EM,rel,origin
0,2170,en, Brixton,London,0.0,0,birth_city,en
1,2170,it, Croydon,Londra,0.0,0,birth_city,en
2,2170,es, Londres,Londres,1.0,1,birth_city,en
3,2170,fr, Barking,Londres,0.0,0,birth_city,en
4,2170,ar, نوروك،,لندن,0.0,0,birth_city,en
5,2170,he, לא亸ארו א,לונדון,0.0,0,birth_city,en
6,2170,ru, Нью-Йор,Лондон,0.0,0,birth_city,en
7,4513,en, Montgomery,Toronto,0.0,0,birth_city,en
8,4513,it, Springville,Toronto,0.0,0,birth_city,en
9,4513,es, Peoria,Toronto,0.0,0,birth_city,en
10,4513,fr, Montgomery,Toronto,0.0,0,birth_city,en
11,4513,ar, روما,تورونتو,0.0,0,birth_city,en
12,4513,he, פראנבורג,טורונטו,0.0,0,birth_city,en
13,4513,ru, Лос-Ан,Торонто,0.0,0,birth_city,en
14,6983,en, 1958,1967,0.0,0,birth_year,en
15,6983,it, 1938,1967,0.0,0,birth_year,en
16,6983,es, 1961,1967,0.0,0,birth_year,en
17,6983,fr, 1959,1967,0.0,0,birth_year,en
18,6983,ar, 1872,1967,0.0,0,birth_year,en
19,6983,he, 1987,1967,0.0,0,birth_year,en
20,6983,ru, 1931,1967,0.0,0,birth_year,en
21,6243,en, 1932,1914,0.0,0,birth_year,es
22,6243,it, 1914,1914,1.0,1,birth_year,es
23,6243,es, 1914,1914,1.0,1,birth_year,es
24,6243,fr, 1932,1914,0.0,0,birth_year,es
25,6243,ar, 1958,1914,0.0,0,birth_year,es
26,6243,he, 1860,1914,0.0,0,birth_year,es
27,6243,ru, 1916,1914,0.0,0,birth_year,es
28,9242,en, 1977,1994,0.0,0,death_year,es
29,9242,it, 1991,1994,0.0,0,death_year,es
30,9242,es, 2004,1994,0.0,0,death_year,es
31,9242,fr, 2010,1994,0.0,0,death_year,es
32,9242,ar, 1985,1994,0.0,0,death_year,es
33,9242,he, דק(lossenfeld,1994,0.0,0,death_year,es
34,9242,ru, 1984,1994,0.0,0,death_year,es
35,639,en, Evanston,Los Angeles,0.0,0,birth_city,en
36,639,it, Chicago,Los Angeles,0.0,0,birth_city,en
37,639,es, Chicago,Los Ángeles,0.0,0,birth_city,en
38,639,fr, Chicago,Los Angeles,0.0,0,birth_city,en
39,639,ar," نيو س ++
S",لوس أنجلوس,0.0,0,birth_city,en
40,639,he," הCarthy ב """")
![",לוס אנג'לס,0.0,0,birth_city,en
41,639,ru, Веллингтон,Лос-Анджелес,0.0,0,birth_city,en
42,453,en, Los Angeles,Los Angeles,1.0,1,birth_city,en
43,453,it, Los Angeles,Los Angeles,1.0,1,birth_city,en
